,age,csp,gen,td1,td2,td3,td4,s_p_ms_1,s_p_ms_2,s_p_ms_3,s_p_ms_4,s_p_ms_5,s_p_ms_6,s_p_ms_7,s_p_ms_8,s_p_ms_9,s_p_mm_1,s_p_mm_2,s_p_mm_3,s_p_mm_4,s_p_ss_1,s_p_ss_2,s_p_ss_3,s_p_ss_4,s_v_ms_1,s_v_ms_2,s_v_ms_3,s_v_ms_4,s_v_ms_5,s_v_ms_6,s_v_ms_7,s_v_ms_8,s_v_ms_9,s_v_mm_1,s_v_mm_2,s_v_mm_3,s_v_mm_4,s_v_ss_1,s_v_ss_2,s_v_ss_3,s_v_ss_4,n_p_ms_1,n_p_ms_2,n_p_ms_3,n_p_ms_4,n_p_ms_5,n_p_ms_6,n_p_ms_7,n_p_ms_8,n_p_ms_9,n_p_mm_1,n_p_mm_2,n_p_mm_3,n_p_mm_4,n_p_ss_1,n_p_ss_2,n_p_ss_3,n_p_ss_4,n_v_ms_1,n_v_ms_2,n_v_ms_3,n_v_ms_4,n_v_ms_5,n_v_ms_6,n_v_ms_7,n_v_ms_8,n_v_ms_9,n_v_mm_1,n_v_mm_2,n_v_mm_3,n_v_mm_4,n_v_ss_1,n_v_ss_2,n_v_ss_3,n_v_ss_4
66,18-25 ans,"Artisans, commerçants, chefs d'entreprise",Autre,119,66,110,41,1,3,1,2,1,3,1,3,1,2,1,2,2,2,1,2,2,1,2,1,3,3,2,2,2,2,3,2,3,2,2,1,3,1,-1,-1,-1,1,-1,-1,1,-1,0,-1,1,-1,-1,-1,1,1,-1,0,1,-1,1,-1,1,-1,1,-1,1,0,-1,1,1,-1,1,1
67,18-25 ans,"Élèves, étudiants",Femme,102,35,71,33,1,1,1,1,2,1,3,3,2,2,2,1,0,2,1,2,1,3,2,2,3,2,3,2,3,2,3,2,1,2,1,2,3,3,0,1,-1,0,0,0,1,-1,1,1,-1,0,0,0,0,1,0,-1,-1,1,-1,1,-1,1,1,-1,-1,0,0,1,0,0,1,-1
68,18-25 ans,"Élèves, étudiants",Homme,49,49,63,60,2,1,2,2,2,3,2,2,1,3,2,1,2,1,2,1,1,2,3,1,1,3,2,2,3,2,3,2,2,2,3,3,3,1,1,0,-1,0,1,-1,1,-1,1,1,-1,-1,0,-1,1,0,-1,-1,1,-1,0,-1,0,1,0,0,1,-1,-1,1,1,-1,1,0
69,18-25 ans,"Élèves, étudiants",Femme,60,28,75,16,3,1,1,1,1,2,1,2,1,2,2,3,1,0,2,1,3,2,2,3,2,2,3,1,3,1,3,1,2,2,3,3,2,3,-1,0,0,1,0,-1,0,1,0,-1,1,-1,1,0,1,-1,1,0,1,0,0,0,-1,0,1,0,1,0,-1,1,1,0,-1,1
70,18-25 ans,"Élèves, étudiants",Femme,124,54,74,17,0,3,2,3,2,2,3,2,2,3,1,2,1,1,1,1,2,3,1,2,1,3,3,2,2,2,2,3,1,3,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,0,1,-1,0,0,-1,-1,-1,1,0,0,1,-1,-1
71,18-25 ans,"Élèves, étudiants",Femme,91,36,94,39,1,2,1,2,0,2,3,2,0,3,1,2,1,3,2,1,2,2,2,3,2,3,3,3,2,1,3,2,2,3,1,1,1,1,1,0,-1,1,0,-1,-1,-1,0,1,1,-1,-1,-1,1,-1,-1,1,0,1,-1,1,-1,0,1,-1,1,-1,0,1,1,0,-1,0
72,18-25 ans,"Élèves, étudiants",Femme,114,19,95,31,3,0,1,2,2,1,1,1,2,3,1,1,2,1,2,2,3,2,1,1,2,2,3,2,3,3,3,3,2,3,2,1,2,1,0,0,0,1,-1,0,-1,0,1,0,1,-1,-1,0,0,-1,1,0,1,0,-1,1,0,-1,0,1,1,-1,1,-1,1,0,-1,1
73,18-25 ans,"Élèves, étudiants",Femme,118,53,93,36,2,1,1,2,1,3,1,2,2,3,1,2,1,2,3,2,2,3,1,1,2,3,3,2,1,2,3,2,1,1,2,2,2,2,-1,0,1,1,0,-1,1,-1,1,-1,1,-1,0,1,1,0,0,1,-1,1,1,0,0,1,0,-1,-1,1,0,1,-1,1,1,-1
74,18-25 ans,"Élèves, étudiants",Femme,57,37,51,24,2,1,1,3,2,3,1,2,3,3,2,1,3,2,1,2,1,2,2,1,1,2,3,2,1,3,3,1,2,3,3,1,2,2,-1,-1,1,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,1,0,-1,1,-1,-1,-1,1,1,-1,1,-1,1,0,-1,1
75,18-25 ans,"Élèves, étudiants",Femme,95,43,52,49,1,2,2,3,1,3,3,3,2,3,1,2,0,2,2,0,1,1,3,3,3,2,3,2,2,3,2,1,1,2,1,3,1,2,1,1,-1,-1,0,1,-1,1,-1,1,-1,1,0,1,-1,0,1,0,1,-1,1,-1,0,-1,1,-1,1,0,-1,1,0,1,-1,-1
76,18-25 ans,"Élèves, étudiants",Femme,64,36,82,39,2,1,1,3,2,3,1,3,1,3,2,1,2,2,1,2,2,2,2,1,3,2,3,2,2,2,3,3,2,2,3,2,1,3,1,0,-1,0,0,1,-1,0,0,1,-1,1,-1,-1,0,0,0,1,0,-1,1,0,-1,0,1,0,1,0,-1,1,-1,1,-1,1
77,18-25 ans,"Élèves, étudiants",Femme,140,81,45,29,1,1,1,2,3,2,2,1,2,2,1,1,1,2,1,2,3,2,2,3,2,2,1,3,3,1,3,2,3,1,1,2,3,3,1,-1,1,0,1,-1,0,1,-1,-1,1,0,1,-1,1,-1,0,-1,0,1,1,-1,-1,0,0,0,-1,1,-1,0,1,0,-1,0
78,18-25 ans,"Élèves, étudiants",Femme,186,46,93,43,1,1,2,3,1,3,0,2,1,2,1,2,2,1,2,3,1,3,1,2,2,1,3,2,3,2,3,3,3,1,1,3,2,2,-1,1,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,-1,1,-1,-1,1,0,-1,1,-1,1,0,1,-1,0,-1,1,0,0
79,18-25 ans,"Élèves, étudiants",Femme,199,96,55,30,2,2,3,2,2,2,3,2,1,2,1,2,1,1,0,1,1,3,3,1,2,2,3,1,2,1,2,2,2,2,2,2,3,2,1,1,-1,1,-1,1,0,1,-1,1,0,-1,1,-1,0,1,-1,1,1,0,-1,1,-1,1,1,-1,1,-1,0,1,1,0,-1,-1
80,18-25 ans,"Élèves, étudiants",Femme,58,26,41,18,1,2,2,3,1,3,2,1,3,3,1,2,1,2,2,1,2,1,2,2,2,3,3,2,1,3,3,1,1,2,3,3,2,2,1,1,0,-1,0,1,-1,1,-1,1,-1,1,0,1,-1,1,-1,1,0,0,0,0,0,-1,1,-1,1,0,0,0,0,0,-1,1
81,18-25 ans,"Élèves, étudiants",Femme,105,49,118,36,1,1,2,2,1,3,1,2,2,2,0,2,1,3,1,2,0,2,1,3,3,2,2,2,3,1,1,1,3,2,2,2,1,2,1,1,-1,1,0,-1,-1,1,-1,1,0,-1,1,0,1,-1,0,1,-1,-1,0,1,-1,-1,0,1,0,-1,1,-1,-1,1,-1,1
82,18-25 ans,"Élèves, étudiants",Femme,171,43,69,28,1,1,3,2,1,2,3,2,3,2,1,1,1,2,1,1,1,3,1,2,3,3,3,2,2,2,3,1,2,1,3,2,2,2,1,0,-1,1,-1,1,-1,1,-1,1,0,0,0,-1,0,0,0,1,0,-1,1,-1,1,1,0,0,1,0,-1,1,-1,0,1,0
83,18-25 ans,"Élèves, étudiants",Femme,344,28,229,17,3,0,1,3,2,3,1,3,2,3,2,1,2,1,1,2,1,3,1,3,3,3,2,2,3,2,3,1,1,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,18-25 ans,"Élèves, étudiants",Femme,106,91,198,47,1,2,2,3,1,3,1,3,2,3,1,2,2,2,2,2,1,3,1,2,3,1,2,2,2,2,3,1,3,2,1,2,2,3,-1,1,-1,1,-1,-1,1,1,-1,1,0,-1,1,1,0,0,0,1,-1,1,-1,0,0,1,-1,0,0,0,0,0,0,-1,1,-1
85,18-25 ans,"Élèves, étudiants",Femme,110,34,76,28,1,2,2,3,1,3,2,3,3,3,1,2,1,2,2,1,0,2,2,1,3,3,3,3,2,3,3,3,1,1,2,2,1,1,0,0,1,-1,-1,1,-1,1,-1,0,0,1,-1,1,-1,0,0,1,-1,1,0,-1,1,-1,1,-1,1,1,0,0,0,-1,1,-1
86,18-25 ans,"Élèves, étudiants",Femme,151,51,74,32,0,3,1,3,2,3,1,2,3,3,2,1,1,2,1,2,1,1,2,2,3,1,3,2,2,3,2,2,2,2,2,3,2,1,0,1,-1,1,-1,1,0,-1,1,1,0,0,-1,0,0,1,0,0,-1,1,1,0,-1,1,0,0,-1,1,-1,1,-1,1,0,0
87,18-25 ans,"Élèves, étudiants",Femme,58,44,76,23,1,2,3,2,1,3,1,3,1,3,1,2,2,1,1,2,2,1,2,3,2,3,3,3,2,1,2,2,2,1,2,1,1,1,1,0,-1,1,-1,1,-1,0,0,1,0,1,-1,-1,0,1,0,0,1,-1,1,-1,1,-1,1,0,1,0,0,0,0,0,0,1
88,18-25 ans,"Élèves, étudiants",Femme,66,28,57,35,2,1,1,3,2,3,1,3,1,3,2,1,2,2,1,2,2,1,2,1,3,3,2,2,2,2,3,2,3,2,2,1,3,1,1,0,-1,0,0,1,-1,0,0,1,-1,1,-1,-1,0,0,0,-1,0,-1,1,0,0,-1,1,-1,-1,-1,0,1,-1,1,-1,1
