,i_p,notes_p,score_p,i_v,notes_v,score_v
41,5,4,2,4,4,6
41,7,5,5,6,5,6
41,1,4,7,2,5,2
41,9,4,6,5,5,6
41,4,5,2,1,5,7
41,2,4,0,3,4,1
41,3,5,6,9,4,4
41,5,4,3,4,4,1
41,1,4,7,2,5,5
41,10,3,2,8,3,6
41,8,5,5,10,5,5
41,6,4,6,7,4,2
41,7,5,1,6,5,7
41,9,4,6,5,5,6
42,3,3,7,10,2,5
42,7,5,2,7,4,7
42,5,3,4,4,3,6
42,10,5,7,6,5,4
42,2,3,4,8,2,7
42,6,5,1,3,3,7
42,4,3,6,1,3,7
42,9,5,7,2,3,2
42,1,3,6,9,3,2
42,8,5,3,5,4,1
42,3,3,6,10,2,4
42,5,3,3,4,3,7
42,2,3,2,8,2,1
42,4,3,2,1,3,7
42,1,3,5,9,3,6
42,7,5,1,7,4,2
42,10,5,3,6,5,5
42,6,5,3,3,3,4
42,9,5,2,2,3,2
42,8,5,3,5,4,1
43,3,4,2,6,5,7
43,6,3,7,9,2,1
43,5,3,4,3,1,4
43,9,3,1,5,5,7
43,7,2,5,7,2,4
43,1,5,0,1,5,1
43,2,5,6,8,1,5
43,8,2,2,2,3,1
43,10,4,6,4,2,4
43,4,2,4,10,2,5
43,3,4,6,6,5,5
43,5,3,2,3,1,3
43,7,2,5,7,2,4
43,2,5,7,8,1,7
43,10,4,3,4,2,4
43,6,3,3,9,2,2
43,9,3,7,5,5,6
43,1,5,6,1,5,7
43,8,2,7,2,3,4
43,4,2,4,10,2,5
44,9,3,4,5,4,2
44,5,2,6,2,2,5
44,3,2,2,8,4,1
44,6,4,4,1,3,4
44,2,1,6,6,3,2
44,8,5,7,7,2,7
44,4,3,6,4,2,4
44,10,2,1,9,3,1
44,7,5,5,3,3,2
44,1,1,7,10,3,1
44,9,3,5,5,4,3
44,3,2,0,8,4,4
44,2,1,2,6,3,6
44,4,3,3,4,2,4
44,7,5,2,3,3,4
44,5,2,7,2,2,7
44,6,4,5,1,3,4
44,8,5,2,7,2,6
44,10,2,7,9,3,4
44,1,1,7,10,3,1
45,6,3,2,1,4,1
45,3,4,0,8,2,4
45,2,3,6,6,4,6
45,8,5,1,4,4,4
45,5,3,2,9,3,2
45,7,5,1,5,4,7
45,10,4,6,7,3,3
45,4,4,2,3,3,4
45,1,3,7,2,3,4
45,9,5,3,10,3,6
45,6,3,4,1,4,4
45,2,3,3,6,4,7
45,5,3,4,9,3,6
45,10,4,7,7,3,7
45,1,3,1,2,3,5
45,3,4,3,8,2,7
45,8,5,4,4,4,4
45,7,5,3,5,4,4
45,4,4,6,3,3,2
45,9,5,3,10,3,6
46,2,2,5,1,3,6
46,7,4,6,5,5,7
46,6,2,2,6,4,4
46,3,4,5,8,5,5
46,10,2,6,2,4,7
46,4,4,5,7,5,6
46,5,2,4,9,4,1
46,9,4,7,3,4,2
46,1,2,6,10,5,4
46,8,4,6,4,4,5
46,2,2,4,1,3,4
46,6,2,3,6,4,6
46,10,2,4,2,4,2
46,5,2,3,9,4,4
46,1,2,5,10,5,1
46,7,4,7,5,5,3
46,3,4,4,8,5,4
46,4,4,6,7,5,3
46,9,4,2,3,4,4
46,8,4,6,4,4,5
47,4,3,6,6,5,5
47,10,2,4,10,5,4
47,5,2,4,9,4,4
47,9,3,7,4,3,4
47,1,2,6,5,4,4
47,8,4,3,3,2,7
47,3,3,7,1,1,1
47,7,4,5,8,4,4
47,2,2,4,7,3,7
47,6,3,1,2,3,6
47,4,3,5,6,5,7
47,5,2,3,9,4,2
47,1,2,1,5,4,6
47,3,3,0,1,1,4
47,2,2,7,7,3,5
47,10,2,0,10,5,4
47,9,3,2,4,3,4
47,8,4,4,3,2,7
47,7,4,6,8,4,5
47,6,3,1,2,3,6
48,2,4,6,3,3,2
48,8,5,7,10,2,4
48,4,3,6,9,2,7
48,10,5,7,6,5,4
48,1,4,5,1,4,4
48,7,5,2,7,5,7
48,5,4,4,4,4,7
48,9,5,5,8,1,5
48,3,4,2,2,4,2
48,6,5,4,5,5,4
48,2,4,2,3,3,1
48,4,3,2,9,2,7
48,1,4,3,1,4,5
48,5,4,6,4,4,1
48,3,4,3,2,4,4
48,8,5,2,10,2,5
48,10,5,1,6,5,2
48,7,5,1,7,5,4
48,9,5,3,8,1,3
48,6,5,4,5,5,4
49,3,3,7,3,4,5
49,7,4,5,6,3,6
49,2,2,4,4,4,4
49,6,3,7,9,3,2
49,5,2,4,2,3,2
49,9,3,7,5,4,6
49,1,2,2,1,2,4
49,4,3,7,7,4,5
49,8,4,2,10,4,6
49,10,2,5,8,4,7
49,3,3,0,3,4,4
49,2,2,3,4,4,1
49,5,2,3,2,3,7
49,1,2,6,1,2,6
49,8,4,4,10,4,5
49,7,4,6,6,3,7
49,6,3,3,9,3,2
49,9,3,6,5,4,7
49,4,3,6,7,4,4
49,10,2,5,8,4,7
50,1,3,5,1,4,4
50,7,4,3,7,2,7
50,4,3,6,4,2,4
50,10,2,7,9,2,2
50,2,3,6,2,3,4
50,8,4,1,10,3,2
50,5,3,4,3,2,4
50,9,3,5,5,4,3
50,3,2,2,8,4,4
50,6,4,4,6,5,4
50,1,3,2,1,4,5
50,4,3,2,4,2,1
50,2,3,3,2,3,4
50,5,3,6,3,2,7
50,3,2,7,8,4,4
50,7,4,1,7,2,6
50,10,2,2,9,2,4
50,8,4,2,10,3,1
50,9,3,3,5,4,7
50,6,4,4,6,5,4
51,6,3,2,6,4,5
51,3,3,0,3,3,4
51,2,3,6,4,4,4
51,8,3,6,9,4,2
51,1,3,5,5,4,2
51,7,3,3,2,3,4
51,4,3,6,10,5,6
51,10,3,4,1,4,4
51,5,3,4,7,3,4
51,9,3,3,8,3,4
51,6,3,4,6,4,6
51,2,3,0,4,4,4
51,1,3,2,5,4,1
51,4,3,5,10,5,5
51,5,3,6,7,3,3
51,3,3,3,3,3,1
51,8,3,4,9,4,2
51,7,3,1,2,3,7
51,10,3,0,1,4,1
51,9,3,3,8,3,4
52,1,5,5,1,5,1
52,7,5,1,8,1,4
52,9,5,0,7,3,7
52,10,5,5,4,5,4
52,3,5,6,5,5,4
52,5,5,7,3,3,1
52,6,5,1,9,1,4
52,4,5,2,10,1,5
52,2,5,6,6,5,6
52,8,5,6,2,4,7
52,1,5,7,1,5,4
52,9,5,5,7,3,7
52,3,5,2,5,5,2
52,6,5,4,9,1,7
52,2,5,5,6,5,4
52,7,5,1,8,1,7
52,10,5,4,4,5,4
52,5,5,5,3,3,2
52,4,5,7,10,1,4
52,8,5,6,2,4,7
53,6,2,2,1,4,1
53,3,3,5,8,3,7
53,9,1,1,3,4,5
53,7,2,5,6,5,6
53,2,3,2,2,5,4
53,4,3,7,10,3,4
53,8,2,6,4,4,4
53,1,3,7,5,5,2
53,10,1,4,9,3,6
53,5,3,7,7,5,4
53,6,2,3,1,4,7
53,9,1,7,3,4,4
53,2,3,6,2,5,1
53,8,2,2,4,4,4
53,10,1,5,9,3,5
53,3,3,7,8,3,4
53,7,2,3,6,5,5
53,4,3,2,10,3,1
53,1,3,3,5,5,7
53,5,3,7,7,5,4
54,6,5,2,1,5,4
54,3,5,1,7,5,5
54,1,5,6,10,5,1
54,8,5,2,5,5,4
54,10,5,6,3,5,1
54,4,5,2,9,5,7
54,2,5,5,6,5,6
54,7,5,2,2,5,1
54,5,5,4,4,5,7
54,9,5,3,8,5,1
54,6,5,4,1,5,6
54,1,5,7,10,5,2
54,10,5,7,3,5,5
54,2,5,3,6,5,6
54,5,5,6,4,5,7
54,3,5,3,7,5,7
54,8,5,7,5,5,2
54,4,5,3,9,5,2
54,7,5,1,2,5,5
54,9,5,3,8,5,1
55,2,3,5,5,4,2
55,7,3,1,2,4,2
55,10,3,4,9,3,6
55,5,4,7,7,3,7
55,6,4,2,4,4,4
55,3,3,4,3,4,2
55,4,4,6,10,4,6
55,9,3,7,1,4,4
55,1,3,6,6,4,4
55,8,3,6,8,3,3
55,2,3,7,5,4,2
55,10,3,3,9,3,4
55,6,4,1,4,4,4
55,4,4,2,10,4,5
55,1,3,5,6,4,6
55,7,3,2,2,4,7
55,5,4,6,7,3,3
55,3,3,5,3,4,7
55,9,3,2,1,4,1
55,8,3,6,8,3,3
56,10,4,6,5,5,3
56,4,4,3,8,4,1
56,7,4,5,1,5,6
56,2,4,0,10,4,4
56,3,4,2,4,4,7
56,6,4,5,7,5,6
56,8,4,6,9,4,2
56,1,4,7,2,5,6
56,9,4,4,6,5,5
56,5,4,4,3,4,4
56,10,4,1,5,5,6
56,7,4,7,1,5,5
56,3,4,3,4,4,4
56,8,4,2,9,4,7
56,9,4,6,6,5,4
56,4,4,2,8,4,6
56,2,4,4,10,4,5
56,6,4,4,7,5,7
56,1,4,3,2,5,4
56,5,4,4,3,4,4
57,2,3,5,3,5,2
57,7,5,1,10,2,6
57,9,3,6,1,3,4
57,4,2,4,7,5,4
57,3,2,3,8,5,7
