,i_p,notes_p,score_p,i_v,notes_v,score_v
30,1,5,3,2,4,2
30,7,4,0,6,3,3
30,8,4,1,9,2,2
30,4,4,2,8,2,2
30,9,4,1,5,3,1
30,3,4,3,4,3,2
30,6,5,1,7,3,3
30,5,5,2,1,5,4
30,10,5,1,10,2,4
30,2,5,0,3,4,1
31,5,3,2,1,3,3
31,10,2,2,7,2,3
31,3,4,1,9,3,2
31,2,3,2,8,3,2
31,9,2,2,3,3,4
31,1,3,2,10,3,2
31,4,3,1,5,4,3
31,8,4,1,2,4,2
31,6,3,1,4,3,2
31,7,4,2,6,4,3
32,1,2,3,1,4,3
32,7,5,0,4,4,3
32,8,5,1,8,3,2
32,6,4,3,5,5,4
32,3,3,1,9,4,2
32,4,4,3,10,4,3
32,10,4,1,2,3,1
32,9,4,3,3,3,1
32,5,3,1,7,4,2
32,2,2,0,6,5,3
33,1,3,2,1,4,4
33,9,3,1,10,3,3
33,8,4,1,7,4,2
33,6,5,3,2,4,2
33,3,3,2,4,2,1
33,10,2,3,3,3,2
33,4,4,2,8,3,2
33,2,3,3,9,3,4
33,7,4,2,5,4,1
33,5,5,1,6,5,3
34,1,4,1,2,4,1
34,10,5,2,1,3,4
34,7,3,2,5,4,4
34,5,3,2,9,3,4
34,3,5,2,3,4,1
34,8,3,3,7,4,3
34,2,4,2,10,2,1
34,6,4,2,6,5,3
34,9,4,2,8,5,3
34,4,3,2,4,3,2
35,2,3,3,6,5,2
35,7,3,0,4,4,1
35,8,3,2,3,4,1
35,10,2,3,2,4,3
35,4,4,1,9,4,4
35,3,3,3,5,5,2
35,6,4,2,8,5,4
35,9,2,3,1,4,3
35,5,4,1,7,5,3
35,1,3,0,10,5,1
36,2,3,1,1,4,2
36,3,4,1,3,3,4
36,4,5,3,10,5,1
36,10,1,2,6,2,2
36,8,4,3,7,3,1
36,1,3,3,8,4,2
36,7,4,1,9,5,3
36,6,2,2,2,5,3
36,9,1,3,5,2,1
36,5,3,1,4,3,3
37,2,4,3,6,4,1
37,7,3,0,10,3,4
37,8,3,1,1,4,2
37,4,4,2,9,4,4
37,6,3,2,3,3,2
37,1,4,1,5,4,2
37,10,3,2,8,3,1
37,5,4,3,7,2,2
37,9,3,1,2,3,2
37,3,4,1,4,2,2
38,1,2,3,1,3,4
38,8,5,0,8,4,2
38,7,5,2,10,5,2
38,10,3,3,5,3,2
38,4,4,1,3,4,4
38,3,2,3,9,3,5
38,6,5,2,4,3,2
38,9,3,3,2,5,2
38,5,4,1,7,3,2
38,2,2,0,6,4,3
39,2,4,2,6,4,1
39,9,5,1,5,5,2
39,8,5,1,3,4,2
39,6,4,2,1,5,4
39,4,5,1,8,5,1
39,3,5,2,7,4,2
39,10,4,2,4,3,3
39,7,5,2,10,2,2
39,5,4,1,9,3,3
39,1,4,0,2,4,2
40,4,3,1,8,5,3
40,8,3,2,6,2,1
40,10,3,1,5,2,4
40,1,3,3,1,3,4
40,7,3,2,10,4,3
40,5,3,3,2,3,2
40,9,3,1,7,3,3
40,3,3,3,9,4,5
40,6,3,2,4,3,1
40,2,3,2,3,3,2
41,4,5,2,1,5,4
41,9,4,1,5,5,2
41,10,3,1,8,3,2
41,2,4,3,3,4,4
41,8,5,2,10,5,2
41,3,5,3,9,4,3
41,6,4,1,7,4,2
41,5,4,2,4,4,2
41,7,5,3,6,5,2
41,1,4,2,2,5,1
42,3,3,2,10,2,2
42,8,5,0,5,4,1
42,7,5,2,7,4,2
42,5,3,2,4,3,2
42,10,5,1,6,5,3
42,2,3,2,8,2,2
42,6,5,2,3,3,2
42,4,3,2,1,3,1
42,9,5,2,2,3,3
42,1,3,1,9,3,2
43,3,4,1,6,5,1
43,4,2,2,10,2,2
43,6,3,1,9,2,4
43,5,3,3,3,1,2
43,9,3,1,5,5,1
43,7,2,3,7,2,3
43,1,5,0,1,5,4
43,2,5,3,8,1,3
43,8,2,2,2,3,2
43,10,4,2,4,2,2
44,9,3,2,5,4,2
