,i_p,notes_p,score_p,i_v,notes_v,score_v
44,1,1,1,10,3,3
44,5,2,2,2,2,3
44,3,2,3,8,4,4
44,6,4,2,1,3,3
44,2,1,3,6,3,2
44,8,5,1,7,2,2
44,4,3,3,4,2,5
44,10,2,2,9,3,4
44,7,5,1,3,3,2
45,6,3,2,1,4,4
45,9,5,1,10,3,2
45,3,4,1,8,2,3
45,2,3,3,6,4,2
45,8,5,2,4,4,5
45,5,3,2,9,3,4
45,7,5,2,5,4,1
45,10,4,3,7,3,1
45,4,4,2,3,3,1
45,1,3,2,2,3,1
46,2,2,3,1,3,3
46,8,4,0,4,4,1
46,7,4,1,5,5,1
46,6,2,3,6,4,3
46,3,4,2,8,5,3
46,10,2,3,2,4,2
46,4,4,1,7,5,3
46,5,2,3,9,4,4
46,9,4,2,3,4,4
46,1,2,0,10,5,4
47,4,3,2,6,5,2
47,6,3,1,2,3,3
47,10,2,2,10,5,2
47,5,2,3,9,4,5
47,9,3,2,4,3,1
47,1,2,3,5,4,2
47,8,4,2,3,2,2
47,3,3,2,1,1,4
47,7,4,3,8,4,1
47,2,2,2,7,3,2
48,2,4,2,3,3,2
48,6,5,1,5,5,2
48,8,5,1,10,2,2
48,4,3,3,9,2,3
48,10,5,1,6,5,3
48,1,4,3,1,4,3
48,7,5,2,7,5,2
48,5,4,3,4,4,3
48,9,5,1,8,1,3
48,3,4,1,2,4,1
49,3,3,2,3,4,2
49,10,2,2,8,4,3
49,7,4,3,6,3,2
49,2,2,2,4,4,5
49,6,3,1,9,3,3
49,5,2,3,2,3,3
49,9,3,2,5,4,4
49,1,2,2,1,2,3
49,4,3,1,7,4,3
49,8,4,2,10,4,4
50,1,3,2,1,4,3
50,6,4,1,6,5,2
50,7,4,1,7,2,2
50,4,3,3,4,2,5
50,10,2,1,9,2,3
50,2,3,3,2,3,3
50,8,4,2,10,3,4
50,5,3,3,3,2,2
50,9,3,1,5,4,2
50,3,2,1,8,4,4
51,6,3,2,6,4,3
51,9,3,1,8,3,2
51,3,3,1,3,3,1
51,2,3,3,4,4,5
51,8,3,3,9,4,4
51,1,3,3,5,4,3
51,7,3,1,2,3,3
51,4,3,3,10,5,4
51,10,3,2,1,4,3
51,5,3,1,7,3,2
52,1,5,3,1,5,1
52,8,5,0,2,4,3
52,7,5,1,8,1,1
52,9,5,1,7,3,2
52,10,5,2,4,5,1
52,3,5,2,5,5,2
52,5,5,1,3,3,4
52,6,5,2,9,1,2
52,4,5,2,10,1,1
52,2,5,0,6,5,3
53,6,2,1,1,4,3
53,5,3,2,7,5,1
53,3,3,1,8,3,2
53,9,1,1,3,4,3
53,7,2,3,6,5,2
53,2,3,2,2,5,3
53,4,3,1,10,3,3
53,8,2,3,4,4,1
53,1,3,1,5,5,4
53,10,1,1,9,3,2
54,6,5,2,1,5,4
54,9,5,1,8,5,1
54,3,5,1,7,5,3
54,1,5,3,10,5,2
54,8,5,2,5,5,2
54,10,5,3,3,5,4
54,4,5,2,9,5,3
54,2,5,3,6,5,2
54,7,5,2,2,5,2
54,5,5,1,4,5,3
55,2,3,3,5,4,2
55,8,3,0,8,3,3
55,7,3,2,2,4,3
55,10,3,2,9,3,3
55,5,4,1,7,3,2
55,6,4,3,4,4,1
55,3,3,1,3,4,4
55,4,4,2,10,4,4
55,9,3,2,1,4,3
55,1,3,0,6,4,1
56,10,4,2,5,5,2
56,5,4,1,3,4,2
56,4,4,1,8,4,4
56,7,4,3,1,5,4
56,2,4,1,10,4,3
56,3,4,3,4,4,2
56,6,4,1,7,5,3
56,8,4,3,9,4,3
56,1,4,2,2,5,2
56,9,4,1,6,5,1
57,2,3,0,3,5,3
57,1,3,3,6,4,1
57,7,5,1,10,2,4
57,9,3,2,1,3,3
57,4,2,1,7,5,1
57,3,2,2,8,5,3
57,8,5,1,4,4,2
57,6,5,1,2,4,3
57,10,4,2,5,4,4
57,5,4,1,9,3,4
58,5,3,2,1,3,3
58,8,4,1,4,5,1
58,9,3,1,5,5,2
58,3,3,3,3,5,2
58,6,3,2,8,5,3
58,4,4,3,2,3,2
58,10,2,1,7,4,2
58,2,2,3,6,4,1
58,7,4,3,10,4,2
58,1,2,1,9,3,2
59,5,4,1,9,4,2
59,6,5,2,1,4,4
59,9,4,1,8,5,1
59,3,3,2,7,4,2
59,8,5,3,4,4,2
59,2,3,1,6,3,3
59,10,3,1,3,4,1
59,1,3,3,2,4,3
59,7,5,1,5,3,2
59,4,4,1,10,5,2
60,5,4,1,6,4,1
60,1,3,3,5,5,2
60,7,4,2,8,4,2
60,10,4,2,3,4,1
60,8,4,3,7,5,3
60,2,3,2,10,3,4
60,6,5,2,1,3,2
60,9,3,2,9,3,5
60,4,3,1,4,4,2
60,3,2,2,2,4,2
61,2,3,2,6,3,1
61,6,3,1,10,3,2
61,8,4,2,8,3,3
61,3,4,2,2,4,3
61,10,3,2,9,4,3
61,5,3,3,7,3,3
61,9,4,1,1,4,3
61,7,4,3,4,4,1
61,1,3,2,5,3,2
61,4,3,2,3,4,3
62,6,4,1,8,3,1
62,8,4,2,7,4,2
62,3,4,2,6,4,3
62,5,4,2,1,3,4
62,10,4,1,10,2,3
62,2,4,3,2,3,3
62,7,4,1,5,4,4
62,4,4,2,9,4,5
62,9,4,2,4,3,1
62,1,4,2,3,3,2
63,2,2,1,5,3,1
63,5,4,2,6,3,2
63,8,3,2,2,5,1
63,3,3,1,1,3,4
63,9,2,2,8,4,1
63,6,2,2,7,4,2
63,4,4,2,4,4,1
63,1,2,3,3,4,4
63,7,3,2,9,3,2
63,10,2,1,10,4,2
64,1,4,2,9,4,4
64,6,2,1,3,3,1
64,8,2,1,4,3,2
64,4,4,3,2,3,2
64,10,1,2,7,3,2
64,3,5,1,6,4,3
64,2,4,1,8,4,4
64,5,4,2,1,4,4
64,7,2,1,5,4,2
64,9,1,2,10,4,2
65,9,5,2,4,1,3
65,2,1,2,10,3,3
65,4,1,1,7,5,3
65,5,1,2,9,3,3
65,8,5,2,6,5,2
65,10,4,1,2,1,3
65,1,1,1,5,5,4
65,3,1,2,1,1,4
65,7,5,1,8,3,2
65,6,4,2,3,1,1
66,2,5,1,6,1,1
66,5,3,3,5,1,2
66,9,2,1,8,5,2
66,8,1,2,3,3,4
66,3,5,1,9,5,3
66,4,3,3,7,1,2
66,10,2,1,4,3,3
66,1,5,3,1,2,4
66,7,1,1,10,5,3
66,6,1,2,2,3,2
67,3,2,1,8,5,3
67,4,2,1,6,3,3
67,7,3,1,1,2,4
67,6,2,1,10,3,4
67,5,2,2,3,2,2
67,10,2,1,5,3,3
67,2,2,3,2,2,3
67,8,3,3,9,4,3
67,1,2,2,7,5,2
67,9,3,1,4,2,3
68,1,3,2,1,4,4
68,6,5,1,10,3,3
68,7,5,2,7,5,1
68,5,4,2,3,4,1
68,10,4,2,4,4,5
68,8,5,3,9,3,2
68,2,3,2,8,3,2
68,4,5,2,5,4,3
68,9,3,1,2,4,2
68,3,4,1,6,4,3
69,7,5,3,1,3,3
69,1,3,1,4,3,2
69,5,3,1,7,5,3
69,2,3,1,9,5,2
69,10,5,1,8,5,2
69,9,5,2,5,5,3
69,4,3,1,2,3,1
69,3,3,2,3,3,3
69,8,5,1,6,5,1
69,6,5,1,10,5,4
70,1,5,0,1,5,4
70,2,5,3,5,1,1
70,8,5,2,6,2,2
70,3,5,3,4,1,1
70,6,5,2,3,1,4
70,9,5,2,9,5,3
70,4,5,3,7,2,2
70,10,5,2,2,2,3
70,5,5,2,10,2,2
70,7,5,3,8,1,4
71,3,3,1,1,3,4
71,9,4,2,10,4,2
71,6,4,1,8,4,3
71,5,2,2,6,5,2
71,8,5,0,2,3,3
71,7,5,2,5,5,4
71,10,4,3,9,3,5
71,4,3,2,4,3,2
71,1,2,0,7,5,1
71,2,2,1,3,3,2
72,8,3,3,1,4,3
72,2,3,0,4,4,1
72,1,3,1,5,5,1
72,3,3,2,7,5,2
72,10,4,2,2,4,3
72,7,3,1,8,5,3
72,6,3,1,6,5,3
72,5,2,1,9,4,4
72,4,2,2,3,4,4
72,9,4,1,10,5,4
73,5,5,2,9,3,3
73,10,3,1,7,4,1
73,9,3,1,5,2,1
73,8,4,2,4,3,3
73,3,5,1,8,4,3
73,1,5,3,6,4,3
73,7,4,1,3,4,2
73,4,5,2,1,5,1
73,6,4,2,2,5,3
73,2,5,1,10,4,2
74,3,5,2,1,4,3
74,10,4,1,6,4,2
74,6,3,1,7,5,1
74,5,4,3,3,5,2
74,9,4,2,8,3,3
74,2,4,3,2,5,3
74,8,4,1,5,4,2
74,4,4,2,10,3,2
74,1,4,3,9,2,5
74,7,4,2,4,4,3
75,10,1,1,6,1,1
75,6,2,2,10,1,3
75,4,5,2,7,5,3
75,9,3,3,9,1,4
75,5,1,1,3,5,2
75,1,1,3,5,3,3
75,8,5,3,2,3,2
75,2,1,3,4,2,3
75,7,5,2,8,4,4
75,3,3,2,1,1,3
76,3,2,2,1,3,3
76,8,3,1,6,4,2
76,6,3,1,7,4,1
76,5,2,3,3,3,4
76,9,2,2,10,4,2
76,2,2,3,5,4,3
76,7,3,1,2,3,2
76,4,2,3,4,3,3
76,10,2,1,8,4,2
76,1,2,1,9,4,2
77,1,2,1,1,5,4
77,3,3,1,10,3,2
77,9,1,1,8,3,3
77,7,2,2,6,4,2
77,10,2,3,2,5,2
77,4,4,2,4,4,1
77,6,2,2,5,3,4
77,2,2,1,9,3,3
77,5,4,2,7,3,1
77,8,2,3,3,3,2
78,9,4,1,10,3,4
78,3,3,1,3,4,1
78,1,4,2,7,3,2
78,4,4,3,4,2,3
78,10,4,1,1,4,2
78,2,4,3,9,4,4
78,7,4,0,5,3,2
78,8,4,2,8,4,3
78,5,4,1,6,3,2
78,6,3,2,2,4,3
79,5,3,2,1,2,3
79,3,4,2,7,4,3
79,7,5,3,10,5,1
79,2,3,2,6,5,2
79,9,5,2,2,3,3
79,1,3,2,9,5,5
79,4,4,3,4,3,1
79,10,4,2,5,4,2
79,8,5,1,8,5,2
79,6,3,1,3,3,2
80,1,2,1,1,3,1
80,3,3,2,2,5,3
80,7,4,2,8,5,2
80,10,4,3,5,5,2
80,4,2,1,3,5,4
80,5,2,3,9,5,5
80,9,4,2,4,5,2
80,6,3,1,6,3,1
80,8,4,3,10,5,3
80,2,2,0,7,4,3
81,5,3,1,4,4,2
81,6,4,1,6,5,1
81,7,5,2,5,4,4
81,3,4,2,9,3,3
81,8,5,1,7,3,2
81,4,5,3,2,5,3
81,10,4,1,10,4,4
81,1,3,2,1,3,4
81,9,5,2,8,3,2
81,2,3,1,3,4,1
82,6,3,1,9,3,4
82,8,5,1,3,5,1
82,4,5,3,7,5,2
82,10,3,2,6,3,3
82,3,5,1,8,5,4
82,2,3,2,1,3,4
82,9,5,3,5,4,2
82,5,3,2,10,5,3
82,7,5,3,4,5,2
82,1,3,2,2,5,3
83,1,4,3,10,4,4
83,8,4,0,3,4,1
83,7,4,1,7,4,3
83,4,4,3,1,4,4
83,10,4,2,5,4,3
83,5,4,3,2,4,2
83,9,4,1,4,4,2
83,3,4,3,6,4,3
83,6,4,2,8,4,2
83,2,4,0,9,4,2
84,5,4,1,1,4,4
84,6,3,2,5,5,1
84,9,5,2,7,4,2
84,2,4,3,6,5,3
84,8,5,1,3,4,1
84,4,4,3,2,4,3
84,10,3,1,10,4,3
84,1,4,3,4,5,3
84,7,5,2,8,4,2
84,3,4,2,9,4,2
85,4,3,1,4,3,3
85,7,3,2,8,5,2
85,10,3,2,9,4,2
85,3,4,3,10,5,3
85,6,3,1,7,5,3
85,5,2,3,1,3,4
85,9,4,2,5,5,3
85,2,2,3,2,4,2
85,8,3,3,6,5,3
85,1,2,2,3,3,1
86,2,4,0,9,5,2
86,1,4,3,10,5,2
86,8,5,1,8,3,2
86,9,4,3,5,4,3
86,5,5,2,2,5,1
86,10,4,3,1,5,3
86,4,5,1,7,4,2
86,7,5,2,4,5,2
86,3,4,3,6,5,3
86,6,5,2,3,5,4
87,2,3,1,10,4,1
87,5,4,2,6,4,2
87,7,4,3,4,5,5
87,1,3,2,9,4,2
87,9,4,1,8,5,4
87,10,3,3,1,4,4
87,4,5,1,5,5,3
87,3,4,3,2,4,2
87,6,4,1,7,5,1
87,8,4,3,3,5,4
88,3,3,2,6,5,1
88,8,5,1,5,4,2
88,6,5,1,8,4,2
88,5,4,3,3,2,4
88,9,4,2,9,3,3
88,1,4,3,7,3,2
88,7,5,1,4,3,3
88,4,4,3,1,2,4
88,10,4,1,10,4,3
88,2,4,1,2,3,2
89,5,4,2,7,4,2
89,8,3,1,6,3,3
89,9,4,2,9,5,2
89,2,3,3,1,3,1
89,7,3,2,2,4,3
89,10,3,3,5,4,2
89,4,4,2,8,4,3
89,1,3,1,4,4,3
89,3,3,3,10,4,4
89,6,3,1,3,4,1
90,4,4,1,4,3,1
90,8,4,1,5,4,1
90,6,4,2,6,5,2
90,1,4,2,2,2,3
90,9,4,1,10,3,2
90,3,4,2,8,3,4
90,10,4,1,1,2,2
90,2,4,3,3,2,1
90,7,4,2,7,4,3
90,5,4,1,9,3,5
91,1,4,3,1,4,3
91,8,3,1,6,4,3
91,9,4,1,9,3,3
91,10,5,1,2,3,3
91,2,4,1,5,4,1
91,5,3,1,7,3,3
91,6,4,1,10,3,3
91,7,3,2,4,3,3
91,3,3,1,8,2,2
91,4,2,2,3,3,2
92,4,3,1,2,3,2
92,5,2,3,6,2,1
92,9,1,1,5,2,4
92,3,2,3,1,2,4
92,6,2,2,8,4,1
92,1,1,3,7,3,3
92,8,2,2,10,2,3
92,10,1,2,4,3,5
92,7,2,3,9,4,4
92,2,1,2,3,4,1
93,10,5,1,7,5,1
93,1,5,2,3,5,2
93,4,5,1,1,5,4
93,8,5,3,10,5,2
93,2,5,2,9,5,3
93,9,5,1,6,5,2
93,3,5,2,4,5,1
93,7,5,2,5,5,3
93,5,5,1,2,5,3
93,6,5,1,8,5,1
94,2,4,2,2,3,1
94,9,2,1,3,3,2
94,7,3,2,5,4,4
94,10,3,3,9,5,5
94,4,4,1,4,3,2
94,3,3,3,6,4,3
94,6,4,1,8,4,4
94,8,3,3,1,4,3
94,1,4,1,7,4,3
94,5,5,1,10,4,3
95,5,3,2,3,4,2
95,8,4,1,5,4,1
95,9,4,2,6,4,3
95,2,3,3,9,3,5
95,7,4,1,4,4,2
95,4,3,3,2,4,2
95,10,4,2,7,4,3
95,3,3,3,1,4,4
95,6,4,2,8,3,2
95,1,3,1,10,3,4
96,5,1,1,2,3,3
96,4,2,1,8,2,3
96,7,3,1,6,4,3
96,6,1,2,9,2,4
96,9,3,1,3,2,1
96,10,2,2,7,3,3
96,3,2,1,10,2,3
96,2,1,3,4,3,1
96,8,3,3,5,3,4
96,1,1,1,1,3,1
97,10,1,1,4,3,2
97,9,3,2,2,4,3
97,4,4,2,8,4,1
97,2,2,3,7,3,3
97,8,2,1,10,5,2
97,6,1,3,9,5,4
97,3,5,2,3,3,2
97,7,2,3,1,5,4
97,1,2,1,5,5,1
97,5,3,2,6,5,2
98,10,5,2,1,4,3
98,8,4,1,4,5,3
98,4,3,1,8,4,2
98,5,3,3,10,4,3
98,9,5,2,7,4,2
98,2,5,3,6,3,3
98,7,4,1,3,4,1
98,6,4,3,2,3,3
98,3,5,1,5,5,4
98,1,5,1,9,3,2
99,6,4,2,2,3,3
99,4,4,3,10,3,2
99,10,4,2,5,5,4
99,3,4,1,1,3,2
99,9,4,3,9,2,5
99,5,4,2,4,4,2
99,8,4,0,7,5,1
99,7,4,3,3,5,2
99,2,4,0,8,5,3
99,1,4,2,6,3,2
100,10,5,2,10,3,1
100,8,4,3,6,3,2
100,2,4,2,2,4,3
100,9,4,2,8,4,2
100,6,5,1,5,4,1
100,7,4,3,7,3,1
100,1,4,1,3,4,2
100,3,4,1,1,3,3
100,4,3,1,4,3,5
100,5,4,2,9,3,2
101,2,2,2,6,2,2
101,6,2,1,4,5,3
101,7,3,2,8,5,2
101,10,2,3,9,3,3
101,4,3,2,7,3,3
101,1,2,3,10,4,4
101,8,3,2,3,4,2
101,3,3,2,5,3,3
101,5,2,3,2,3,1
101,9,3,2,1,2,3
102,9,5,1,3,3,1
102,8,4,1,7,5,3
102,6,3,2,9,3,2
102,1,1,3,1,3,3
102,7,4,2,6,5,2
102,3,2,1,2,4,3
102,4,3,1,5,3,1
102,5,2,2,4,4,3
102,10,3,1,10,3,2
102,2,1,2,8,2,2
103,7,5,2,1,3,2
103,5,4,3,9,4,2
103,9,4,2,10,4,3
103,2,3,2,2,3,2
103,4,4,2,6,4,1
103,6,5,2,5,4,2
103,1,3,1,8,4,2
103,3,4,2,3,4,1
103,8,5,2,4,4,2
103,10,4,2,7,4,3
104,4,4,2,4,4,3
104,6,4,1,8,2,1
104,10,4,2,7,3,3
104,5,4,2,1,4,4
104,8,4,3,10,2,3
104,2,4,3,2,3,2
104,7,4,2,6,4,3
104,3,4,1,3,3,2
104,9,4,2,5,4,4
104,1,4,2,9,2,5
105,5,2,2,1,3,4
105,8,3,0,5,3,2
105,7,3,2,8,4,3
105,10,2,3,2,3,3
105,4,3,2,10,4,2
105,2,2,2,9,3,3
105,9,3,2,6,3,2
105,6,2,3,4,3,1
105,3,3,1,3,3,1
105,1,2,1,7,3,3
106,4,4,2,4,2,5
106,2,2,1,9,3,3
106,10,1,1,2,3,2
106,9,2,2,7,4,3
106,1,2,1,10,3,2
106,3,3,2,8,5,3
106,5,3,2,6,3,1
106,8,5,1,5,2,4
106,6,3,1,1,2,2
106,7,5,1,3,2,1
107,4,2,1,8,3,2
107,3,1,1,5,2,2
107,2,1,1,3,3,2
107,5,2,3,1,2,3
107,9,1,2,6,2,2
107,6,2,2,4,3,3
107,1,1,3,10,3,2
107,8,2,2,9,2,3
107,10,1,2,7,2,2
107,7,2,1,2,3,3
108,2,4,3,1,3,3
108,7,4,0,4,2,3
108,8,4,2,8,3,3
108,10,4,3,6,3,3
108,4,4,1,3,3,4
108,5,4,3,9,3,3
108,9,4,2,7,4,2
108,6,4,2,2,3,3
108,1,4,1,10,2,2
108,3,4,1,5,3,4
109,1,3,3,1,3,4
109,7,3,0,10,2,2
109,8,3,1,8,2,3
109,4,3,3,2,4,3
109,10,3,2,5,4,4
109,5,3,3,9,2,3
109,9,3,1,7,4,2
109,3,3,3,4,4,2
109,6,3,2,6,4,3
109,2,3,0,3,4,2
110,1,5,2,2,5,2
110,9,2,1,6,3,1
110,8,3,1,5,3,4
110,4,5,2,9,5,3
110,6,3,1,7,2,1
110,10,2,1,8,4,4
110,2,5,3,1,5,3
110,7,3,2,4,4,3
110,3,5,2,10,2,4
110,5,5,1,3,5,1
111,1,4,1,9,2,3
111,5,4,1,7,5,2
111,4,5,2,4,5,2
111,2,4,2,6,3,1
111,9,5,2,5,5,4
111,6,4,1,1,3,4
111,7,5,2,8,2,3
111,10,4,2,2,4,1
111,8,5,2,3,5,4
111,3,5,1,10,2,2
112,5,3,2,1,3,3
112,8,5,1,7,3,1
112,9,5,1,5,4,2
112,3,4,3,10,5,4
112,6,4,2,3,4,3
112,2,2,3,6,2,3
112,7,5,1,8,5,2
112,4,2,3,9,5,5
112,10,4,1,4,4,2
112,1,2,1,2,4,1
113,8,5,2,10,3,3
113,3,4,1,2,4,2
113,1,4,2,6,5,1
113,9,5,3,5,5,4
113,5,4,2,1,3,2
113,10,5,3,3,4,4
113,4,4,1,9,2,2
113,7,5,3,8,2,3
113,2,4,2,4,5,2
113,6,5,1,7,4,3
114,2,4,2,1,4,3
114,9,3,1,6,3,2
114,7,3,1,7,4,3
114,4,3,3,9,3,4
114,10,5,1,5,4,2
114,1,4,3,3,3,4
114,8,3,2,10,3,3
114,3,3,3,4,4,3
114,6,5,1,8,3,3
114,5,4,1,2,3,1
115,1,2,1,6,3,3
115,10,3,2,3,5,4
115,7,4,2,9,2,3
115,5,3,3,2,4,3
115,9,3,2,10,3,4
115,2,2,3,1,2,3
115,8,4,1,7,4,1
115,4,3,2,5,4,2
115,6,4,3,8,5,3
115,3,2,1,4,5,2
116,1,1,1,2,4,3
116,3,3,3,10,4,3
116,6,4,1,7,5,1
116,7,5,3,5,4,2
116,2,1,1,8,5,2
116,10,2,2,9,4,5
116,8,5,1,4,4,2
116,9,3,2,6,4,3
116,4,3,1,3,3,2
116,5,3,1,1,3,1
117,7,4,0,3,4,1
117,8,4,3,4,3,1
117,1,3,0,5,3,1
117,2,3,2,7,3,1
117,4,3,2,8,2,2
117,6,4,3,9,2,3
117,3,3,2,2,5,2
117,5,3,3,6,3,1
117,9,4,1,10,2,4
117,10,4,2,1,4,2
118,2,3,2,2,3,3
118,9,3,1,9,3,4
118,7,4,1,5,4,4
118,4,3,3,1,3,3
118,10,3,2,7,3,1
118,3,3,3,3,3,4
118,6,4,1,10,3,2
118,8,4,3,8,3,3
118,1,3,1,6,4,2
118,5,3,1,4,4,2
119,1,4,2,2,4,3
119,9,2,1,9,2,2
119,7,3,1,8,2,2
119,6,3,3,3,3,3
119,3,3,1,6,4,2
119,2,4,3,7,3,3
119,8,3,2,10,3,4
119,10,2,3,1,4,3
119,4,4,1,4,4,1
119,5,4,1,5,4,3
120,7,4,1,1,3,4
120,9,4,2,5,4,2
120,2,4,2,8,4,1
120,4,4,3,7,4,2
120,10,4,1,6,3,3
120,6,4,3,3,4,4
120,3,4,1,10,3,2
120,1,4,3,9,3,5
120,8,4,2,4,3,2
120,5,4,2,2,3,1
121,6,2,1,5,2,1
121,5,2,2,6,3,3
121,3,3,2,8,3,3
121,7,4,1,2,5,3
121,4,3,2,10,3,3
121,9,4,2,7,2,3
121,2,3,1,9,4,4
121,10,2,2,3,5,1
121,8,4,3,4,5,3
121,1,3,2,1,5,4
122,3,3,2,3,2,3
122,5,3,1,6,5,1
122,6,4,2,10,3,2
122,2,3,3,5,4,3
122,8,4,1,2,3,1
122,4,4,2,1,5,3
122,9,5,1,4,4,5
122,7,4,3,9,3,3
122,1,3,1,7,3,1
122,10,5,2,8,2,2
123,2,4,3,3,1,1
123,7,2,0,7,4,1
123,8,2,2,5,5,1
123,5,2,3,4,2,3
123,9,4,2,8,2,2
123,4,2,3,9,1,3
123,10,4,2,6,5,2
123,3,4,3,2,1,3
123,6,4,2,10,2,4
123,1,4,0,1,2,2
124,4,4,2,1,4,2
124,9,4,1,9,3,3
124,10,4,2,2,5,1
124,5,4,2,3,5,1
124,8,4,2,7,5,1
124,3,4,2,5,4,2
124,7,4,3,10,3,3
124,2,4,2,4,3,3
124,6,4,2,8,2,3
124,1,4,2,6,5,3
125,10,3,2,1,3,3
125,7,3,1,7,4,1
125,6,3,3,8,4,3
125,3,3,2,6,5,3
125,5,3,3,3,3,1
125,9,3,2,4,3,2
125,4,3,2,2,3,3
125,2,3,3,5,4,2
125,8,3,3,10,4,2
125,1,3,1,9,3,2
126,10,1,1,6,3,2
126,6,3,2,2,4,1
126,4,3,2,3,4,2
126,2,2,2,1,4,4
126,9,2,1,10,3,2
126,7,3,2,5,3,1
126,3,2,2,4,4,5
126,5,2,2,9,3,2
126,8,3,3,8,4,1
126,1,2,1,7,4,2
127,7,5,2,1,5,3
127,3,5,1,4,4,3
127,2,5,0,10,3,3
127,1,5,1,2,3,3
127,5,5,1,5,4,1
127,4,5,3,6,4,3
127,10,5,1,8,3,2
127,9,5,1,9,4,3
127,8,5,1,7,3,1
127,6,5,1,3,3,2
128,6,4,2,6,5,2
128,9,3,1,7,3,2
128,3,4,1,4,3,3
128,1,4,3,1,3,4
128,8,3,2,5,5,3
128,10,4,2,2,3,3
128,7,3,3,8,4,2
128,2,4,2,10,2,4
128,4,3,1,3,3,4
128,5,3,1,9,2,3
129,5,4,2,1,4,3
129,7,5,1,7,5,1
129,9,5,1,8,5,3
129,10,5,3,6,5,3
129,4,3,2,3,4,4
129,2,3,3,9,5,5
